RespondentID,Sex,age,age_group,max_educert,qualification_tier,currentempstatus,occupation_cj,is_underemployed
114371466236.0,Male,23.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114360625341.0,Male,28.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114371432889.0,Female,38.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working part-time (permanent),Managers,0
114371501312.0,Male,31.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371450418.0,Female,41.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Clerical Support Workers,1
114328076245.0,Female,29.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114372346914.0,Female,34.0,32-44,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Managers,0
114371479817.0,Female,23.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
114371500306.0,Male,25.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114359230890.0,Male,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371463723.0,Male,37.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114360072577.0,Male,26.0,23-26,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371462103.0,Male,23.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Professional,0
114371428760.0,Male,24.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (contract),Technician and Associate Professionals,0
114369699501.0,Female,32.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114371394266.0,Male,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Technician and Associate Professionals,0
114371478687.0,Male,23.0,23-26,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114371293555.0,Male,27.0,27-31,Diploma/ certificates or equivalent,Diploma,Working full-time (permanent),Technician and Associate Professionals,0
114370664727.0,Male,36.0,32-44,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Managers,0
114358813278.0,Female,28.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (permanent),Professional,0
114359280299.0,Female,27.0,27-31,Bachelor's degree/ advanced diploma or equivalent,Bachelor's Degree,Working full-time (contract),Professional,0
